0 0 0 | -65 -1065 2065 3065 4065 -5065 6065 -7065 8065 9065 
1 0 0 | -64 -1064 2064 3064 4064 -5064 6064 -7064 8064 9064 
2 0 0 | -63 -1063 2063 3063 4063 -5063 6063 -7063 8063 9063 
3 0 0 | 43 1043 2043 3043 4043 5043 6043 7043 8043 9043 
4 0 0 | 44 1044 2044 3044 4044 5044 6044 7044 8044 9044 
5 0 0 | 45 1045 2045 3045 4045 5045 6045 7045 8045 9045 
6 0 0 | 46 1046 2046 3046 4046 5046 6046 7046 8046 9046 
7 0 0 | 47 1047 2047 3047 4047 5047 6047 7047 8047 9047 
8 0 0 | 48 1048 2048 3048 4048 5048 6048 7048 8048 9048 
9 0 0 | 49 1049 2049 3049 4049 5049 6049 7049 8049 9049 
0 1 0 | -35 -1035 2035 3035 4035 -5035 6035 -7035 8035 9035 
1 1 0 | -34 -1034 2034 3034 4034 -5034 6034 -7034 8034 9034 
2 1 0 | -33 -1033 2033 3033 4033 -5033 6033 -7033 8033 9033 
3 1 0 | 53 1053 2053 3053 4053 5053 6053 7053 8053 9053 
4 1 0 | 54 1054 2054 3054 4054 5054 6054 7054 8054 9054 
5 1 0 | 55 1055 2055 3055 4055 5055 6055 7055 8055 9055 
6 1 0 | 56 1056 2056 3056 4056 5056 6056 7056 8056 9056 
7 1 0 | 57 1057 2057 3057 4057 5057 6057 7057 8057 9057 
8 1 0 | 58 1058 2058 3058 4058 5058 6058 7058 8058 9058 
9 1 0 | 59 1059 2059 3059 4059 5059 6059 7059 8059 9059 
0 2 0 | -45 -1045 2045 3045 4045 -5045 6045 -7045 8045 9045 
1 2 0 | -44 -1044 2044 3044 4044 -5044 6044 -7044 8044 9044 
2 2 0 | -43 -1043 2043 3043 4043 -5043 6043 -7043 8043 9043 
3 2 0 | 63 1063 2063 3063 4063 5063 6063 7063 8063 9063 
4 2 0 | 64 1064 2064 3064 4064 5064 6064 7064 8064 9064 
5 2 0 | 65 1065 2065 3065 4065 5065 6065 7065 8065 9065 
6 2 0 | 66 1066 2066 3066 4066 5066 6066 7066 8066 9066 
7 2 0 | 67 1067 2067 3067 4067 5067 6067 7067 8067 9067 
8 2 0 | 68 1068 2068 3068 4068 5068 6068 7068 8068 9068 
9 2 0 | 69 1069 2069 3069 4069 5069 6069 7069 8069 9069 
0 3 0 | -55 -1055 2055 3055 4055 -5055 6055 -7055 8055 9055 
1 3 0 | -54 -1054 2054 3054 4054 -5054 6054 -7054 8054 9054 
2 3 0 | -53 -1053 2053 3053 4053 -5053 6053 -7053 8053 9053 
3 3 0 | 33 1033 2033 3033 4033 5033 6033 7033 8033 9033 
4 3 0 | 34 1034 2034 3034 4034 5034 6034 7034 8034 9034 
5 3 0 | 35 1035 2035 3035 4035 5035 6035 7035 8035 9035 
6 3 0 | 36 1036 2036 3036 4036 5036 6036 7036 8036 9036 
7 3 0 | 37 1037 2037 3037 4037 5037 6037 7037 8037 9037 
8 3 0 | 38 1038 2038 3038 4038 5038 6038 7038 8038 9038 
9 3 0 | 39 1039 2039 3039 4039 5039 6039 7039 8039 9039 
0 4 0 | -65 -1065 2065 3065 4065 -5065 6065 -7065 8065 9065 
1 4 0 | -64 -1064 2064 3064 4064 -5064 6064 -7064 8064 9064 
2 4 0 | -63 -1063 2063 3063 4063 -5063 6063 -7063 8063 9063 
3 4 0 | 43 1043 2043 3043 4043 5043 6043 7043 8043 9043 
4 4 0 | 44 1044 2044 3044 4044 5044 6044 7044 8044 9044 
5 4 0 | 45 1045 2045 3045 4045 5045 6045 7045 8045 9045 
6 4 0 | 46 1046 2046 3046 4046 5046 6046 7046 8046 9046 
7 4 0 | 47 1047 2047 3047 4047 5047 6047 7047 8047 9047 
8 4 0 | 48 1048 2048 3048 4048 5048 6048 7048 8048 9048 
9 4 0 | 49 1049 2049 3049 4049 5049 6049 7049 8049 9049 
0 5 0 | -35 -1035 2035 3035 4035 -5035 6035 -7035 8035 9035 
1 5 0 | -34 -1034 2034 3034 4034 -5034 6034 -7034 8034 9034 
2 5 0 | -33 -1033 2033 3033 4033 -5033 6033 -7033 8033 9033 
3 5 0 | 53 1053 2053 3053 4053 5053 6053 7053 8053 9053 
4 5 0 | 54 1054 2054 3054 4054 5054 6054 7054 8054 9054 
5 5 0 | 55 1055 2055 3055 4055 5055 6055 7055 8055 9055 
6 5 0 | 56 1056 2056 3056 4056 5056 6056 7056 8056 9056 
7 5 0 | 57 1057 2057 3057 4057 5057 6057 7057 8057 9057 
8 5 0 | 58 1058 2058 3058 4058 5058 6058 7058 8058 9058 
9 5 0 | 59 1059 2059 3059 4059 5059 6059 7059 8059 9059 
0 6 0 | -45 -1045 2045 3045 4045 -5045 6045 -7045 8045 9045 
1 6 0 | -44 -1044 2044 3044 4044 -5044 6044 -7044 8044 9044 
2 6 0 | -43 -1043 2043 3043 4043 -5043 6043 -7043 8043 9043 
3 6 0 | 63 1063 2063 3063 4063 5063 6063 7063 8063 9063 
4 6 0 | 64 1064 2064 3064 4064 5064 6064 7064 8064 9064 
5 6 0 | 65 1065 2065 3065 4065 5065 6065 7065 8065 9065 
6 6 0 | 66 1066 2066 3066 4066 5066 6066 7066 8066 9066 
7 6 0 | 67 1067 2067 3067 4067 5067 6067 7067 8067 9067 
8 6 0 | 68 1068 2068 3068 4068 5068 6068 7068 8068 9068 
9 6 0 | 69 1069 2069 3069 4069 5069 6069 7069 8069 9069 
0 7 0 | -55 -1055 2055 3055 4055 -5055 6055 -7055 8055 9055 
1 7 0 | -54 -1054 2054 3054 4054 -5054 6054 -7054 8054 9054 
2 7 0 | -53 -1053 2053 3053 4053 -5053 6053 -7053 8053 9053 
3 7 0 | 33 1033 2033 3033 4033 5033 6033 7033 8033 9033 
4 7 0 | 34 1034 2034 3034 4034 5034 6034 7034 8034 9034 
5 7 0 | 35 1035 2035 3035 4035 5035 6035 7035 8035 9035 
6 7 0 | 36 1036 2036 3036 4036 5036 6036 7036 8036 9036 
7 7 0 | 37 1037 2037 3037 4037 5037 6037 7037 8037 9037 
8 7 0 | 38 1038 2038 3038 4038 5038 6038 7038 8038 9038 
9 7 0 | 39 1039 2039 3039 4039 5039 6039 7039 8039 9039 
0 8 0 | -65 -1065 2065 3065 4065 -5065 6065 -7065 8065 9065 
1 8 0 | -64 -1064 2064 3064 4064 -5064 6064 -7064 8064 9064 
2 8 0 | -63 -1063 2063 3063 4063 -5063 6063 -7063 8063 9063 
3 8 0 | 43 1043 2043 3043 4043 5043 6043 7043 8043 9043 
4 8 0 | 44 1044 2044 3044 4044 5044 6044 7044 8044 9044 
5 8 0 | 45 1045 2045 3045 4045 5045 6045 7045 8045 9045 
6 8 0 | 46 1046 2046 3046 4046 5046 6046 7046 8046 9046 
7 8 0 | 47 1047 2047 3047 4047 5047 6047 7047 8047 9047 
8 8 0 | 48 1048 2048 3048 4048 5048 6048 7048 8048 9048 
9 8 0 | 49 1049 2049 3049 4049 5049 6049 7049 8049 9049 
0 9 0 | -35 -1035 2035 3035 4035 -5035 6035 -7035 8035 9035 
1 9 0 | -34 -1034 2034 3034 4034 -5034 6034 -7034 8034 9034 
2 9 0 | -33 -1033 2033 3033 4033 -5033 6033 -7033 8033 9033 
3 9 0 | 53 1053 2053 3053 4053 5053 6053 7053 8053 9053 
4 9 0 | 54 1054 2054 3054 4054 5054 6054 7054 8054 9054 
5 9 0 | 55 1055 2055 3055 4055 5055 6055 7055 8055 9055 
6 9 0 | 56 1056 2056 3056 4056 5056 6056 7056 8056 9056 
7 9 0 | 57 1057 2057 3057 4057 5057 6057 7057 8057 9057 
8 9 0 | 58 1058 2058 3058 4058 5058 6058 7058 8058 9058 
9 9 0 | 59 1059 2059 3059 4059 5059 6059 7059 8059 9059 
0 0 1 | -165 -1165 2165 3165 4165 -5165 6165 -7165 8165 9165 
1 0 1 | -164 -1164 2164 3164 4164 -5164 6164 -7164 8164 9164 
2 0 1 | -163 -1163 2163 3163 4163 -5163 6163 -7163 8163 9163 
3 0 1 | 143 1143 2143 3143 4143 5143 6143 7143 8143 9143 
4 0 1 | 144 1144 2144 3144 4144 5144 6144 7144 8144 9144 
5 0 1 | 145 1145 2145 3145 4145 5145 6145 7145 8145 9145 
6 0 1 | 146 1146 2146 3146 4146 5146 6146 7146 8146 9146 
7 0 1 | 147 1147 2147 3147 4147 5147 6147 7147 8147 9147 
8 0 1 | 148 1148 2148 3148 4148 5148 6148 7148 8148 9148 
9 0 1 | 149 1149 2149 3149 4149 5149 6149 7149 8149 9149 
0 1 1 | -135 -1135 2135 3135 4135 -5135 6135 -7135 8135 9135 
1 1 1 | -134 -1134 2134 3134 4134 -5134 6134 -7134 8134 9134 
2 1 1 | -133 -1133 2133 3133 4133 -5133 6133 -7133 8133 9133 
3 1 1 | 153 1153 2153 3153 4153 5153 6153 7153 8153 9153 
4 1 1 | 154 1154 2154 3154 4154 5154 6154 7154 8154 9154 
5 1 1 | 155 1155 2155 3155 4155 5155 6155 7155 8155 9155 
6 1 1 | 156 1156 2156 3156 4156 5156 6156 7156 8156 9156 
7 1 1 | 157 1157 2157 3157 4157 5157 6157 7157 8157 9157 
8 1 1 | 158 1158 2158 3158 4158 5158 6158 7158 8158 9158 
9 1 1 | 159 1159 2159 3159 4159 5159 6159 7159 8159 9159 
0 2 1 | -145 -1145 2145 3145 4145 -5145 6145 -7145 8145 9145 
1 2 1 | -144 -1144 2144 3144 4144 -5144 6144 -7144 8144 9144 
2 2 1 | -143 -1143 2143 3143 4143 -5143 6143 -7143 8143 9143 
3 2 1 | 163 1163 2163 3163 4163 5163 6163 7163 8163 9163 
4 2 1 | 164 1164 2164 3164 4164 5164 6164 7164 8164 9164 
5 2 1 | 165 1165 2165 3165 4165 5165 6165 7165 8165 9165 
6 2 1 | 166 1166 2166 3166 4166 5166 6166 7166 8166 9166 
7 2 1 | 167 1167 2167 3167 4167 5167 6167 7167 8167 9167 
8 2 1 | 168 1168 2168 3168 4168 5168 6168 7168 8168 9168 
9 2 1 | 169 1169 2169 3169 4169 5169 6169 7169 8169 9169 
0 3 1 | -155 -1155 2155 3155 4155 -5155 6155 -7155 8155 9155 
1 3 1 | -154 -1154 2154 3154 4154 -5154 6154 -7154 8154 9154 
2 3 1 | -153 -1153 2153 3153 4153 -5153 6153 -7153 8153 9153 
3 3 1 | 133 1133 2133 3133 4133 5133 6133 7133 8133 9133 
4 3 1 | 134 1134 2134 3134 4134 5134 6134 7134 8134 9134 
5 3 1 | 135 1135 2135 3135 4135 5135 6135 7135 8135 9135 
6 3 1 | 136 1136 2136 3136 4136 5136 6136 7136 8136 9136 
7 3 1 | 137 1137 2137 3137 4137 5137 6137 7137 8137 9137 
8 3 1 | 138 1138 2138 3138 4138 5138 6138 7138 8138 9138 
9 3 1 | 139 1139 2139 3139 4139 5139 6139 7139 8139 9139 
0 4 1 | -165 -1165 2165 3165 4165 -5165 6165 -7165 8165 9165 
1 4 1 | -164 -1164 2164 3164 4164 -5164 6164 -7164 8164 9164 
2 4 1 | -163 -1163 2163 3163 4163 -5163 6163 -7163 8163 9163 
3 4 1 | 143 1143 2143 3143 4143 5143 6143 7143 8143 9143 
4 4 1 | 144 1144 2144 3144 4144 5144 6144 7144 8144 9144 
5 4 1 | 145 1145 2145 3145 4145 5145 6145 7145 8145 9145 
6 4 1 | 146 1146 2146 3146 4146 5146 6146 7146 8146 9146 
7 4 1 | 147 1147 2147 3147 4147 5147 6147 7147 8147 9147 
8 4 1 | 148 1148 2148 3148 4148 5148 6148 7148 8148 9148 
9 4 1 | 149 1149 2149 3149 4149 5149 6149 7149 8149 9149 
0 5 1 | -135 -1135 2135 3135 4135 -5135 6135 -7135 8135 9135 
1 5 1 | -134 -1134 2134 3134 4134 -5134 6134 -7134 8134 9134 
2 5 1 | -133 -1133 2133 3133 4133 -5133 6133 -7133 8133 9133 
3 5 1 | 153 1153 2153 3153 4153 5153 6153 7153 8153 9153 
4 5 1 | 154 1154 2154 3154 4154 5154 6154 7154 8154 9154 
5 5 1 | 155 1155 2155 3155 4155 5155 6155 7155 8155 9155 
6 5 1 | 156 1156 2156 3156 4156 5156 6156 7156 8156 9156 
7 5 1 | 157 1157 2157 3157 4157 5157 6157 7157 8157 9157 
8 5 1 | 158 1158 2158 3158 4158 5158 6158 7158 8158 9158 
9 5 1 | 159 1159 2159 3159 4159 5159 6159 7159 8159 9159 
0 6 1 | -145 -1145 2145 3145 4145 -5145 6145 -7145 8145 9145 
1 6 1 | -144 -1144 2144 3144 4144 -5144 6144 -7144 8144 9144 
2 6 1 | -143 -1143 2143 3143 4143 -5143 6143 -7143 8143 9143 
3 6 1 | 163 1163 2163 3163 4163 5163 6163 7163 8163 9163 
4 6 1 | 164 1164 2164 3164 4164 5164 6164 7164 8164 9164 
5 6 1 | 165 1165 2165 3165 4165 5165 6165 7165 8165 9165 
6 6 1 | 166 1166 2166 3166 4166 5166 6166 7166 8166 9166 
7 6 1 | 167 1167 2167 3167 4167 5167 6167 7167 8167 9167 
8 6 1 | 168 1168 2168 3168 4168 5168 6168 7168 8168 9168 
9 6 1 | 169 1169 2169 3169 4169 5169 6169 7169 8169 9169 
0 7 1 | -155 -1155 2155 3155 4155 -5155 6155 -7155 8155 9155 
1 7 1 | -154 -1154 2154 3154 4154 -5154 6154 -7154 8154 9154 
2 7 1 | -153 -1153 2153 3153 4153 -5153 6153 -7153 8153 9153 
3 7 1 | 133 1133 2133 3133 4133 5133 6133 7133 8133 9133 
4 7 1 | 134 1134 2134 3134 4134 5134 6134 7134 8134 9134 
5 7 1 | 135 1135 2135 3135 4135 5135 6135 7135 8135 9135 
