0 0 0 | -445 -1445 2445 3445 4445 -5445 6445 -7445 8445 9445 
1 0 0 | -444 -1444 2444 3444 4444 -5444 6444 -7444 8444 9444 
2 0 0 | -443 -1443 2443 3443 4443 -5443 6443 -7443 8443 9443 
3 0 0 | 653 -1653 -2653 3653 -4653 -5653 6653 7653 8653 9653 
4 0 0 | 654 -1654 -2654 3654 -4654 -5654 6654 7654 8654 9654 
5 0 0 | 655 -1655 -2655 3655 -4655 -5655 6655 7655 8655 9655 
6 0 0 | 656 -1656 -2656 3656 -4656 -5656 6656 7656 8656 9656 
7 0 0 | 657 -1657 -2657 3657 -4657 -5657 6657 7657 8657 9657 
8 0 0 | 658 -1658 -2658 3658 -4658 -5658 6658 7658 8658 9658 
9 0 0 | 659 -1659 -2659 3659 -4659 -5659 6659 7659 8659 9659 
0 1 0 | -455 -1455 2455 3455 4455 -5455 6455 -7455 8455 9455 
1 1 0 | -454 -1454 2454 3454 4454 -5454 6454 -7454 8454 9454 
2 1 0 | -453 -1453 2453 3453 4453 -5453 6453 -7453 8453 9453 
3 1 0 | 643 -1643 -2643 3643 -4643 -5643 6643 7643 8643 9643 
4 1 0 | 644 -1644 -2644 3644 -4644 -5644 6644 7644 8644 9644 
5 1 0 | 645 -1645 -2645 3645 -4645 -5645 6645 7645 8645 9645 
6 1 0 | 646 -1646 -2646 3646 -4646 -5646 6646 7646 8646 9646 
7 1 0 | 647 -1647 -2647 3647 -4647 -5647 6647 7647 8647 9647 
8 1 0 | 648 -1648 -2648 3648 -4648 -5648 6648 7648 8648 9648 
9 1 0 | 649 -1649 -2649 3649 -4649 -5649 6649 7649 8649 9649 
0 2 0 | -465 -1465 2465 3465 4465 -5465 6465 -7465 8465 9465 
1 2 0 | -464 -1464 2464 3464 4464 -5464 6464 -7464 8464 9464 
2 2 0 | -463 -1463 2463 3463 4463 -5463 6463 -7463 8463 9463 
3 2 0 | 633 -1633 -2633 3633 -4633 -5633 6633 7633 8633 9633 
4 2 0 | 634 -1634 -2634 3634 -4634 -5634 6634 7634 8634 9634 
5 2 0 | 635 -1635 -2635 3635 -4635 -5635 6635 7635 8635 9635 
6 2 0 | 636 -1636 -2636 3636 -4636 -5636 6636 7636 8636 9636 
7 2 0 | 637 -1637 -2637 3637 -4637 -5637 6637 7637 8637 9637 
8 2 0 | 638 -1638 -2638 3638 -4638 -5638 6638 7638 8638 9638 
9 2 0 | 639 -1639 -2639 3639 -4639 -5639 6639 7639 8639 9639 
0 3 0 | -665 1665 -2665 3665 -4665 5665 6665 -7665 8665 9665 
1 3 0 | -664 1664 -2664 3664 -4664 5664 6664 -7664 8664 9664 
2 3 0 | -663 1663 -2663 3663 -4663 5663 6663 -7663 8663 9663 
3 3 0 | 433 1433 2433 3433 4433 5433 6433 7433 8433 9433 
4 3 0 | 434 1434 2434 3434 4434 5434 6434 7434 8434 9434 
5 3 0 | 435 1435 2435 3435 4435 5435 6435 7435 8435 9435 
6 3 0 | 436 1436 2436 3436 4436 5436 6436 7436 8436 9436 
7 3 0 | 437 1437 2437 3437 4437 5437 6437 7437 8437 9437 
8 3 0 | 438 1438 2438 3438 4438 5438 6438 7438 8438 9438 
9 3 0 | 439 1439 2439 3439 4439 5439 6439 7439 8439 9439 
0 4 0 | -655 1655 -2655 3655 -4655 5655 6655 -7655 8655 9655 
1 4 0 | -654 1654 -2654 3654 -4654 5654 6654 -7654 8654 9654 
2 4 0 | -653 1653 -2653 3653 -4653 5653 6653 -7653 8653 9653 
3 4 0 | 443 1443 2443 3443 4443 5443 6443 7443 8443 9443 
4 4 0 | 444 1444 2444 3444 4444 5444 6444 7444 8444 9444 
5 4 0 | 445 1445 2445 3445 4445 5445 6445 7445 8445 9445 
6 4 0 | 446 1446 2446 3446 4446 5446 6446 7446 8446 9446 
7 4 0 | 447 1447 2447 3447 4447 5447 6447 7447 8447 9447 
8 4 0 | 448 1448 2448 3448 4448 5448 6448 7448 8448 9448 
9 4 0 | 449 1449 2449 3449 4449 5449 6449 7449 8449 9449 
0 5 0 | -645 1645 -2645 3645 -4645 5645 6645 -7645 8645 9645 
1 5 0 | -644 1644 -2644 3644 -4644 5644 6644 -7644 8644 9644 
2 5 0 | -643 1643 -2643 3643 -4643 5643 6643 -7643 8643 9643 
3 5 0 | 453 1453 2453 3453 4453 5453 6453 7453 8453 9453 
4 5 0 | 454 1454 2454 3454 4454 5454 6454 7454 8454 9454 
5 5 0 | 455 1455 2455 3455 4455 5455 6455 7455 8455 9455 
6 5 0 | 456 1456 2456 3456 4456 5456 6456 7456 8456 9456 
